split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5,train_fraction
113,type_aware,368,0.6267274666164784,0.5190217391304348,0.6929347826086957,0.7581521739130435,0.8
113,ablation_intrinsic_only,368,0.6782603830377967,0.5842391304347826,0.7472826086956522,0.8016304347826086,0.8
113,ablation_full,368,0.6838042198267961,0.592391304347826,0.7554347826086957,0.7961956521739131,0.8
127,type_aware,368,0.626508446036314,0.532608695652174,0.6847826086956522,0.7391304347826086,0.8
127,ablation_intrinsic_only,368,0.6895257330415369,0.6005434782608695,0.7554347826086957,0.7961956521739131,0.8
127,ablation_full,368,0.6659363443550624,0.5679347826086957,0.7336956521739131,0.779891304347826,0.8
131,type_aware,368,0.5881821821951236,0.48641304347826086,0.6331521739130435,0.7065217391304348,0.8
131,ablation_intrinsic_only,368,0.6668060873507985,0.5652173913043478,0.7472826086956522,0.7961956521739131,0.8
131,ablation_full,368,0.6560272022129051,0.5516304347826086,0.7255434782608695,0.782608695652174,0.8
137,type_aware,368,0.6048420066414787,0.5081521739130435,0.6521739130434783,0.7092391304347826,0.8
137,ablation_intrinsic_only,368,0.6646678612161835,0.5652173913043478,0.7309782608695652,0.7907608695652174,0.8
137,ablation_full,368,0.676113290658819,0.5869565217391305,0.7418478260869565,0.7880434782608695,0.8
139,type_aware,368,0.6256123711671029,0.5135869565217391,0.6956521739130435,0.7445652173913043,0.8
139,ablation_intrinsic_only,368,0.6892108435563271,0.5869565217391305,0.7635869565217391,0.8315217391304348,0.8
139,ablation_full,368,0.6901223732660937,0.5869565217391305,0.7472826086956522,0.8288043478260869,0.8
149,type_aware,368,0.6132245246381034,0.5108695652173914,0.6847826086956522,0.7391304347826086,0.8
149,ablation_intrinsic_only,368,0.6934088777376887,0.6005434782608695,0.7554347826086957,0.8043478260869565,0.8
149,ablation_full,368,0.662285610720692,0.5597826086956522,0.7391304347826086,0.7853260869565217,0.8
